,question,answer
4239,i'll give it back to you in a couple of minutes.,maybe we should put it in a plastic bag to keep it clean.
4240,my ear is killing me.,what's the matter?
4241,what's the matter?,i was on a plane.
4242,i was on a plane.,so?
4243,so?,"so, every time the plane goes up, my ear starts to hurt."
4244,"so, every time the plane goes up, my ear starts to hurt.",that's no good.
4245,that's no good.,"sometimes the pain goes away, and sometimes it doesn't."
4246,"sometimes the pain goes away, and sometimes it doesn't.",have you seen a doctor?
4247,have you seen a doctor?,i've been to two doctors.
4248,i've been to two doctors.,and they couldn't fix your problem?
4249,and they couldn't fix your problem?,they both said i have to live with it.
4250,they both said i have to live with it.,or you can stay off planes.
4251,did you see the woman with the new face?,did she get a nice job?
4252,did she get a nice job?,"she got an ""everything"" job!"
4253,"she got an ""everything"" job!",what do you mean?
4254,what do you mean?,a team of doctors gave her a whole new face.
4255,a team of doctors gave her a whole new face.,why did they do that?
4256,why did they do that?,a mad dog bit most of her face off.
4257,a mad dog bit most of her face off.,"oh, that's terrible. what does she look like now?"
4258,"oh, that's terrible. what does she look like now?","her face is really fat, but they say the swelling will go down."
4259,"her face is really fat, but they say the swelling will go down.",and then will she look normal again?
4260,and then will she look normal again?,i guess so.
4261,i guess so.,god bless modern medicine.
4262,there's something wrong with my right hand.,what's wrong with it?
4263,what's wrong with it?,it aches most of the time.
4264,it aches most of the time.,what do you think it is?
4265,what do you think it is?,i don't know. i think it's old age.
4266,i don't know. i think it's old age.,"if it's old age, why don't both of your hands hurt?"
4267,"if it's old age, why don't both of your hands hurt?",that's a good question. maybe it's not old age.
4268,that's a good question. maybe it's not old age.,are you right-handed?
4269,are you right-handed?,yes. all my life.
4270,yes. all my life.,you're wearing out your right hand. stop using it so much.
4271,you're wearing out your right hand. stop using it so much.,but i do all my writing with my right hand.
4272,but i do all my writing with my right hand.,start typing instead. that way your left hand will do half the work.
4273,What is a computer?,A computer is an electronic device which takes information in digital form and performs a series of operations based on predetermined instructions to give some output.
4274,A computer is an electronic device which takes information in digital form and performs a series of operations based on predetermined instructions to give some output.,The thing you're using to talk to me is a computer.
4275,The thing you're using to talk to me is a computer.,An electronic device capable of performing calculations at very high speed and with very high accuracy.
4276,An electronic device capable of performing calculations at very high speed and with very high accuracy.,A device which maps one set of numbers onto another set of numbers.
4277,What is a super computer?,Computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers.
4278,Computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers.,"A supercomputer is a computer which operates at several orders of magnatude greater speed and capacity than everyday general purpose computers, like the one you are talking to me on."
4279,"A supercomputer is a computer which operates at several orders of magnatude greater speed and capacity than everyday general purpose computers, like the one you are talking to me on.","You know, the big iron!"
4280,Who invented computers?,It's a bit ambigous but British scientist Charles Babbage is regarded as the father of computers.
4281,It's a bit ambigous but British scientist Charles Babbage is regarded as the father of computers.,"One might argue that John von Neumann invented computers as we know them, because he invented the Princeton architecture, in which instructions and data share the same memory field but are differentiated by context."
4282,What was the first computer,"It's hard to say, but The ENIAC is regarded as the first 'real' computer. It was developed at University of Pennsylvania in 1946."
4283,"It's hard to say, but The ENIAC is regarded as the first 'real' computer. It was developed at University of Pennsylvania in 1946.","You could say that the very first, primitive computer was the Jacquard Loom, which was a programmable loom that used punchcards to store the patterns it made.  This made it a reprogrammable mechanical device."
4284,What is a microprocessor?,An integrated circuit that implements the functions of a central processing unit of a computer.
4285,An integrated circuit that implements the functions of a central processing unit of a computer.,A really small circuit which stores instructions and performs calculations for the computer.
4286,A really small circuit which stores instructions and performs calculations for the computer.,"The heart of the computer, to put it simply."
4287,"The heart of the computer, to put it simply.","The brain of a computer, to put it simply."
4288,"The brain of a computer, to put it simply.","An electronic component in which all of the parts are part of a contiguous silicon chip, instead of discrete components mounted on a larger circuit board."
4289,What is an operating system?,"Software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the OS."
4290,"Software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the OS.","Windows, MacOS, Linux, UNIX... all of them are types of OSes."
4291,"Windows, MacOS, Linux, UNIX... all of them are types of OSes.",Android and iOS are operating systems for mobile devices.
4292,Android and iOS are operating systems for mobile devices.,"Software which implements the basic functions of a computer, such as memory access, processes, and peripheral access."
